"reviews","rating"
"Pros:__________- Super slim and super light. You can blindfold yourself and you wouldn’t know if you were holding an iPad pro or this tablet. No plastic, just metal, and glass.- Round corners, no sharp edges, making it more as an IPad Pro feel. Overall, high-quality look and feel are defiantly showing.- 10.5” AMOLED screen is a 2560x1600 resolution that shows where your money is going to. You can’t really explain it unless you see it.- Took it outside on a clear sunny day and the image quality is still superb in direct sunlight. The Ambient light sensors do their job in adapting to a sunny day to a dark room.- The deep blacks are excellent, and I love that you can tweak the saturation and white balance.  You’ll be surprised that many Android tablets will not allow you to do that.- Touch response shows not glitches, delay, or hiccups.- The speakers are the best so far that I’ve heard from a Samsung tablet in a long.  I would have to compare it to the 2018 IPad Pro. Extremely loud, great base, and an overall shock on how good they are as you can see the vibration coming out of the tablet (might be a Con but you’re never going to put it up that loud.)- Any day performance will 100% work.  Web browsing, movies, etc. A quick and snappy performance- Was really impress of the wireless performance and in range. I never got below 100Mbps at my location (2 story house, one wireless router- no extensions).-  Surprisingly I found the desktop mode very productive. Running multiple apps in windows it made multitasking very effective. I’m not a fan of multitasking on a tablet but if you Bluetooth a keyboard and a mouse, you have a pretty decent laptop. This feature I believe is called the DeX mode.- Playing Netflix for one hour I lost around 7% of battery life.  It was playing at 1080p and on 80% brightness.- Overall battery life is really good. I got two days, close to 11 hours of web, tablet gaming (medium power consumption) and Netflix. This is a pretty good steal given that some higher tablets need to be charged by the end of the day.-  A wise decision that they made the power button and the Fingerprint reader the same. Yes, the scan is fast, no complaints.- Type-C USB 3.1 Gen1. This means it’s fast charging.- Found no difficulty in holding the tablet as my hand position never covered the speaker grills.- The Bixby assistant feature is just like a Suri. Had it in a loud/crowded room and Bixby picked up my voice. The field microphone will make this tablet become a google home in theory. I think this feature will be great if your hand are full.- A minimalist design that follows the saying “less is more.”Cons and Oks:__________- It’s thin. I love this but without a case, this tablet will bend.  I wouldn’t even trust it in my backpack without a case. You will be on high alert if you sit on it so you need a case of some sort.- No HDR support which makes no sense since the display supports HDR.- No headphone jack. This is not a phone, it’s a tablet and the best sound quality comes from wired headphones.- This is an issue when you start doing “major” multitasking.  The result is that the tablet slows down.  You should always need maybe 2GB of free space but sadly the additional 4GB will not cut for deep multitasking (Get the upgraded RAM, if possible,  if you’re playing to use multitasking beyond the average person). This will apply to those who want to make this tablet their main form of a laptop, which I'm strongly against this idea.- No S-Pen support.  This doesn’t make sense.- Face unlocking is still in the testing phase in my eyes.  You can use it, but the finger scan is still the way.- Yes, there is bloatware.  You can never get away from it.- The camera is nothing to brag about.  I don’t even use it as any phone within the past two years can provide similar quality.- Android software overall has limited apps that support a tablet design.  I hope this changes in the future but expect a lot of apps opening up as if it was a phone app, but just expanded. You will get some pretty big black borders.- 0-100 I got a 2.30-time frame.-  Pretty cool that the back camera doesn’t stick out that much.- I playing ultra-high games (60fps) will make the tablet shutdown.  I played Legends on ultra-high and this issued occurred.  Put the graphics on medium and it was fine. Just an FYI.- Wish that added more screen as there is still a considerable amount more needless black border.  It’s still an improvement from last year.- I was told that Samsung will offer a $130. Kinda high in price for a keyboard case.Bottom Line:__________Samsung took a book out of Apple and followed the design method “less is better.”  It’s slim, light, and beautiful in image quality. The battery life is great and for the price, it beats paying an arm and a leg for an Apple tablet. I will say that of all the tablets out there, this one considers the closest of a laptop replacement (But not there yet). Apple’s 2018 IPad comes close, but some unique software options to make this a unique experience. Some hiccups are on this product but the pros out powers the cons here.Overall: First impressions, a premium experience without the ridiculous price tag. Still not a laptop replacement but an excellent tablet.Hope I was a help to you.Love,Honest Reviewer","5.0 out of 5 stars"
"Pre ordered from Best Buy. Wont stay connected to wifi if being held sideways, therefore useless for gaming.  I'm not the only one with this problem either.  Samsung has a design flaw with wifi antenna placement.  Stay away from this tablet for now.Update:  received my second S5e yesterday, same problem.  I'm hearing from other people the same thing as well.","1.0 out of 5 stars"
"For many years I had android phones and iPad tablets. It was time for me to just stick with one ecosystem, and when I saw the S5e, I figured I would give android tablets another shot.The first thing I noticed is the size: While having the same screen size as my iPad Pro 10.5, the Galaxy Tab is noticeably shorter, narrower, thinner, and lighter. It uses a wider aspect ratio on the screen (which has pros and cons), but for most movies and TV shows, than means the image you see on the Galaxy Tab will be larger than what you would see on the same size iPad due to it's more square-ish screen. (See my photo for size comparison -- the video is also about .6"" larger diagonally on the Galaxy Tab.)I spent a lot of time setting up the tablet just how I wanted, which for now kind of replicates an iPad. I chose the option to remove the app drawer and stuck with having folders of apps on my home screen. I then spent some time with the various apps I'm used to running on iOS along with apps that I normally ran on my phone. I have to say I am overall happy with the performance of the tablet. It is not quite as fluid as an iPad -- for example, when rotating the screen or opening app folders, the animation is occasionally ever so slightly jumpy rather than totally smooth. (I have the 128/6GB version, as I wanted the extra RAM.)The speakers are really good, and there is no headphone jack. I have to say, given how thin this tablet is, I just might buy the argument that one wouldn't fit inside. (But I'd still rather have one.) A PASSIVE USB-C headphone dongle is included. This means that the included dongle will not work on many other USB-C phones. On the other hand, an active adapter like the one from my Google Pixel 3 will still work on the Galaxy Tab.I am enjoying the screen -- it is bright and readable outdoors. It dims pretty low too, which is good for night reading.I'm not a big gamer, and so my various casual games have no problems running on the tablet.About the only issue I've been having is that I'm finding the fingerprint scanner/button a bit finicky. It's not clear to me the right way to turn on the tablet. Sometimes it seems like I need to press and hold, other times, just touch my finger to it, and other times it has trouble reading my finger on the first attempt. Some of this might be getting used to a very small/narrow reader, but it is a little annoying. At the time I wrote this, some other reviewers are saying there is a problem with the wifi when you hold the tablet sideways and cover the antenna with your hands. I could not recreate that issue on my device.So, I'm pretty pleased and I think this will let me finally ditch the iOS ecosystem (and lightning cables). My actual star rating would be 4.5.PS -- I do think a case is needed for this. It is very thin and, while it doesn't feel flimsy, some reinforcement is good. At the moment, Samsung's official (non-keyboard) case is a mind boggling $70 for a basic plastic folio case. I ordered one elsewhere, but I do think the official one looks good. Maybe if it goes on sale sometime.","5.0 out of 5 stars"
"May 17, 2019, edited 12/21/19 -- I promised I would give an updated review after I had owned the tablet for awhile:Honest Reviewer gave a VERY comprehensive review on April 26, 2019, so I will only add a few things.  Thin and light weight, easy to hold although I'd recommend a case of some kind for any tablet.  Screen is beautiful.  Speakers/sound is the best we've had in a tablet.  No headphone jack understandable to get this thin so you will need bluetooth enabled headphones or speakers for external audio.  Our Wi-Fi performance has been good, we have tried to duplicate the wi-fi issue reported by others that wi-fi reception varies with tablet orientation and have not been able to replicate the problem.  The default Samsung keyboard covered up a critical portion of one account sign in screen, if this happens to you I would recommend installing Gboard (the free Google keyboard) or Swiftkey ($), which allow vertical size adjustment of the keyboard, before setting up other apps -- you can always switch back to the Samsung keyboard later if you like it better.  Seven months in, no problems!","5.0 out of 5 stars"
"PROS=====- Screen. Tablets are all about a screen. Period. And Everybody knows Samsung has the best screen in the world. LG also has good ones, btw.- An OK price point with a bundled deal. Probably will go even lower on Black Friday.- Performance. Very fast. It's such a joy when browsing the web etc.- Clean design and no company logo or any markings, at least on the front. They took about 10 years to finally realize that removing the Samsung logo is the way to go.- High quality speakers for a tablet.- Lightweight.CONS======- Wifi antenna position problem in horizontal mode. It's a well-known hardware design defect that's documented in the news articles and reviews. Look it up. No software fix possible. When I tested to see if it's actually true, the download speed dropped to almost 0.5 Mbps from 30 Mbps. Maybe not a big deal to some of you but you have to be mindful of it EVERYTIME you hold the tablet in horizontal mode. But how long mindful? Be mindful every single day for years until the device dies. That's another thing you'll need to keep it on your chest as a psychological burden. Returned back to Amazon. Of course, you can choose not to return it. And Samsung will think like, ""OK, we made a critical mistake but it still sells fine"". Teach them a lesson by returning your defective product if you're concerned, so they can take the high return rate as a wake up call. Otherwise, they will keep pushing out defective products.- ""You phone has restarted"". That's the message you see when you restart the *tablet*. Samsung probably missed it when they ported their Android software from their Galaxy phone to the tablet. It's a minor issue but you can see that Samsung is not run by a person like Steve Jobs and they don't pay attention to minor details like this. And it makes me wonder, ""If they missed this, what else did they miss under the hood?"" Something unthinkable for a big global corporation like them.- Performance. Slow when gaming as shown in other reviews probably due to their lower end graphics chip and the mid upper range CPU. I'm not a gamer therefore it wouldn't bother me though. Also, it's kind of expected for this price.- Camera bump. Who uses a high res camera on a tablet? It causes a camera bump. It's a problem if you're anti-camera bump. Again, they took about 10 years to finally realize that removing the Samsung logo from the front is the way to go. I'll give them another 10 years to finally remove the camera bump.- Documentation. Looks like it was written by some Korean engineer, which is fine. But don't they have it proofread before publishing it? Again, something unthinkable for a big global corporation like them. They should have a documentation department with native speakers for the language.SUGGESTIONS TO MANUFACTURER==============================- Use pure stock Android or Android One and stop wasting time and energy customizing it and publishing your half-baked software. Bixby sucks, for example. How many web articles do you see about tutorials on how to remove the Bixby button? People don't want it. Focus on what you do best -- hardware. Shift your energy and capital away from software.- Test well. Both software and hardware. The wifi antenna problem would have been easily caught by some basic testing. But it looks like the test engineers missed it. But how? They don't give their 100% when they are not treated well.- Lower camera specs so you can get rid of the camera bump, which will lower the price even more. Again, who uses a camera on a tablet? Of course you sometimes need it for a video chat but you don't typically need a high resolution one. Actually, a lower res camera is even better because you don't want to drop too many real-time UDP audio/video packets due to the bandwidth consumption by high resolution camera.","1.0 out of 5 stars"
"Primo tablet! I held on to my Galaxy Tab S 10.5 (T800)  because the screen, it spoiled me. Samsung came to their senses and brought back the superb screen and they didn't rest on their laurels. The speakers are amazingly loud and the sound quality is suprising. I don't know what is more impressive, the incredible battery life or how thin and light the Tab s5e is. It's so small with the ultra thin bezel. And the face recognition unlocks it quickly. It is very fast (I got the 128gb w 6mb ram) If you are unsure about moving to a new tablet buy it with confidence. I could not be happier. The only downside I can find is the lack of custom cases available. And no dedicated audio Jack, who cares I always use bluetooth:0)","5.0 out of 5 stars"
"EDITED 3 May 2019:So you've probably been reading in the news about the wifi problems when holding this tablet horizontally. If your hand covers the bottom left corner of the tablet, you can experience wifi degradation. Personally, when I tried to duplicate this, I saw one or two of the wifi bars ""disappear,"" but I never completely lost the signal. Can Samsung fix with a software update? Probably not.Is this a deal-breaker for me? Right now, no. Only because I mostly hold this tablet in the middle when holding horizontally. Also, I use a tablet ""pillow"" to prop this tablet up. And the games I play don't require me to hold this tablet with both hands. When reading, I hold vertically.Amazon offers 30-day returns, so I can always change my mind in 23 days.------------------------------------------------------ORIGINAL REVIEW:I have tried again and again to use Apple because their tablets are so thin and light. But I just can't get used to not being able to customize my tablet with widgets. Thank god Samsung finally decided to make a thin and light tablet!!!!!!! That's the 1st thing you notice about this tablet! It can be held in one hand!Likes:- Thin and light- Speakers sound great- Screen: SUPERB! Great for reading Manga in my opinion...- Available in a 6GB/128GB version- Love the ''gold'' color...(looks like ''rose gold'' to me).Dislikes:- Feels a little awkward when reading epubs (cause it's a bit too big for that).- Not enough accessories available yet.Honestly, if I wanted a keyboard and pen, I would've bought the Tab S4, but I already have a ZAGG keyboard that I can use with this.","5.0 out of 5 stars"
"I really can't believe this made it to market with this wifi flaw. If you hold it in landscape mode, your hand on the bottom, you will cover the wifi antenna. If you are not sitting on top of your wireless router or access point, you will probably lose connection. This has been acknowledged by Samsung. What they will do about it is yet to be seen. I LOVE Samsung products. I have a phone and several older galaxy tab models. I wanted the s5e to be great. It was SO close. I like everything else about it. But the wifi problem runs it all. Not sure if I will wait a bit to see what they do or just send it back to Amazon. I would recommend you wait on this...","2.0 out of 5 stars"
"The new Tab S5e is a replacement for a 5-6 year old 8"" Samsung tablet that is now a bit long in the teeth and has significantly reduced battery life.For me these are the important features that make the Tab S5e the right unit for me.+ Excellent high-def screen. Videos look great on the device.+ Huge amount of storage. The 128 GB internal storage combined with a 512 GB micro SD card should be enough for a while.+ Long battery life. I expect 12 hours of video playback to be possible.+ Sufficient performance. I don't need a speed demon and the device is snappy.+ USB C. One of several reasons why I did not consider an iPad.+ Fast charge. Not so important to me but handy when you need it.+ Light and slim. Easy to hold and handle.+ Future proof with 6GB of memory.I am not crazy about the following though I was aware before ordering- Samsung crapware and eco-system. I hate their SW and BS services. This required a lot of tweaking to remove, disable or render invisible Samsung's software. Fortunately Nova Launcher simplifies this a bit.- I wish the unit had a 16:9 aspect ratio (instead of 16:10) and were about 1"" smaller. That would make holding it with one hand much easier and there'd be less wasted space with most videos.I have heard of the wifi antenna issue that others have reported but can't really replicate the issue. While the signal indicator varies quite a bit the connection has never dropped for me. Speedtest shows me about 250 mbps download speeds. However, I have strong wifi and I don't doubt that the issue is real in situations with weak wifi implementations or lots of wifi interference.","5.0 out of 5 stars"
"Upgrading from a 4-year old Nexus 9. Android on a tablet is such a better experience than ChromeOS. You get to use all the same apps in the same way as on your phone. All of this talk of ""no tablet support"" for Android is blown way, way out of proportion. All of the apps I use work perfectly in landscape, on a large screen.Now this tablet. First the 10,000lb gorilla in the room... wifi. There is definitely some truth to the rumors. To me, it just seemed like overall the wifi reception was bad, in all situations. On speed tests it does worse than my phone, however, I haven't really had problems with it getting the bandwidth it needs to stream video.Be warned this comes pre-loaded with apps hooking into every possible aspect of Samsung's ecosystem. And their ecosystem includes everything, and the kitchen sink. Most you can disable or hide. After that they don't get in the way.","3.0 out of 5 stars"
