"reviews","rating"
"This is not a review for the iPad, but a warning that Amazon is linking the 2018 iPads with Apple Pencil 1 to purchase them together — THEY ARE NOT COMPATIBLE WITH EACH OTHER. 2018 iPad Pros and newer use the Apple Pencil 2.","1.0 out of 5 stars"
"I use my iPad every day for work, not as a computer replacement but as as enhancement. For the most part I review and annotate (many) documents, take notes during meetings, create vector graphics, and make presentations (it is better for that purpose than a laptop, IMO). And yes I also use it for entertainment.Because I use it so much, I decided to upgrade and I don't regret the decision despite the dent in my wallet. The form factor is seriously much more of an improvement than I expected; my wife still refuses to believe the screen is the same size as the previous model (it is). The apple pencil is a slight improvement in terms of operation -- it feels a bit nicer, and I won't miss the removable cap -- but the convenience of attaching it to the side of the device for storage and charging is a game-changer. I no longer have to remember to charge it over-night every few days. I also have the smart folio and it is an excellent improvement over the previous version.The iPad Pro is simply the best-in-class tablet device. The screen is beautiful, it is crazy fast, and the apps are excellent. Since I store my files on iCloud, integration is seemless: documents that I annotate appear on my computer within seconds after changing them. So it is not a laptop replacement for me, but I used it almost as much as I use my laptop.Yes there are some limitations. I'm a heavy Excel user and the iPad version is crippled since macros don't work. I can review and annotate others' spreadsheets, however, which I find more convenient then text boxes or cell comments. I also use LaTeX (rather than Word) and I haven't found anything close to Emacs + AucTeX. And I can't use R on the tablet.Regarding cost: yes , it is expensive. But over its lifetime it will more than justify the expense for me. And, like all Apple products, they are built to last (I still use a 2010 iMac at home as a spare computer and it is quite usable) and they retain their resell value.","5.0 out of 5 stars"
"Don’t buy it!","1.0 out of 5 stars"
"I had the last 10.5"" ipad pro and just upgraded to the new 12.9. I had actually returned the previous gen 12.9 and switched to the 10.5 because it was too large. However, with the minimum bezels on this new ipad, the size is perfect. I love using it for reading news, browsing the web, imessage, netflix/youtube, etc. The screen is incredible, and it never lags. Apple doesn't have much competition for great tablets, and this new generation made the gap even larger. It's expensive, but if you have the money then it's a great device.","5.0 out of 5 stars"
"I use the 2018 iPad Pro 12.9 for 8-12 hours a day for work and play.  To set it up, I just set my iPad Air next to it, and it quickly and automatically transferred everything (apps, settings, etc.).The sound system is beyond belief, with an incredible depth and breadth and richness.  I've had systems with surround sound that didn't sound as good as this tiny critter.  (I was astounded, while watching a movie, when a truck drove across the screen, from right to left, and the sound started in the right speakers and moved to the left speakers as the truck crossed the screen.)  I have hypersensitive hearing and can turn this down very low and still hear every sound and word perfectly.You're just smashing, Apple!  Thank you.  (Plus, your little iPad Air is going on four years now and is still going strong as a backup to this one.)","5.0 out of 5 stars"
"Apple is so far ahead of the curve when it comes to tablets that at this point they are competing with themselves. This thing is fast and the design is beautiful. It is also expensive but I don't regret buying it at all (got the 12.9 64gb wifi from apple). My only concern with the device is durability but I'll take really good care of it.","5.0 out of 5 stars"
"Great product, I use this mainly for photography, however, usb-c connection is so new, there aren’t peripherals to work with, only one I can find at this moment is SD card reader from Apple store, even that doesn’t work until after calling Apple tech support. I am hoping more peripherals available soon so I can export edited photos for backup other than iCloud.","5.0 out of 5 stars"
"so the short story if it is, it works really good, build quality is really good (though I don't know if I'm to consider myself lucky I didn't get a bent iPad right out of the box or others are just making it up, mine came flat as it should) it's fairly simple and easy to handle and use considering it's size, even the speakers are great.the issue is that, the most important thing about a tablet, imo, is the screen, and with either my luck or an issue with the quality control from the screen manufacturer and apple, mine has a minimum of AT LEAST 6 dead pixels right in the middle of the screen, with ""one"" of them being bigger than the rest, either leading be to believe it's dust or multiple dead pixels right next to each other. I only just noticed this, and considering the content I work with is color sensitive, I can't trust the screen quality with this kind of quality control, which obviously doesn't do it's job correctly.no it's not broken on arrival but for what I was intending to use it for it's as good as a really expensive paperweight. I also see no clear way to get a new one without reporting it as dead on arrival, which I can't do because it still functions, and with the way I travel I can't sit waiting for a new one to arrive at my doorstep.1 star review from me unfortunately, I wanted to like it, I really did, we've mostly do but I can't trust the screen with the content I work with knowing this is the kind of quality control $1000+ buys you for A TABLETif Apple are going to keep charging more for new stuff every year I expect the premium we're paying to be enough to pay for someone to make sure these things are in working condition when they arrive at our doorstep.Amazon also needs to clearly state that the product support is with Apple and not Amazon, because I also spent a fair bit of my time with people who did not understand my issue, trying to get product support from them when they were not the ones who were offering it.","1.0 out of 5 stars"
"My iPad Pro 12.9” (3rd Gen) is useless to give a presentation, because of Apple's removal of the headphone jack. :-(Most state-of-the-art, large-scale conference venues use HDMI, but with all of the audio being handled via a plain old analog headphone jack.Apple's own USB-C adapters for HDMI and VGA do not include a headphone jack, making the iPad Pro a no-go for professional presentations. :-(Numerous 3rd-party USB-C A/V adapters have headphone jacks, most of which do not extract the audio from HDMI and are therefore useless.Of seven that I tried, only one properly extracted / separated the audio and sent it out the headphone jack at all times.To make matters worse, Apple enforces HDCP even on my own presentations, so I was at the mercy of the A/V techs (very pro) to employ a sketchy hardware device, a la, HDCP ""spoofer"" to make the HDMI work with their projection / repeaters at a world-class conference venue. :-(I love everything about the portability and versatility and performance of the new iPad Pro, but this one issue is an utter catastrophe and a complete deal-breaker re: the viability of the iPad ""Pro"" in the REAL professional workplace.TO APPLE:  Please add a headphone jack on your A/V adapters and turn off HDCP for non-protected content.","1.0 out of 5 stars"
"Update 4/15/2018: I unfortunately have to downgrade my initial 5 star rating. Recently my iPad has exhibited the dreaded intermittent ‘unresponsive touch screen’. This issue seems to occur in a lot of these iPads a few months after ownership. Look it up online and you’ll see many of these iPads end up this way. Apple, as usual, is useless in fixing the problem, or even admitting anything is wrong. The ‘genius’ customer service is anything but. I would bring mine in for a replacement, but after a lot of research, it appears the same issue often occurs on the replacement devices, so I’m not going to gamble. It’s still usable, but imagine as you’re scrolling, the ‘touch screen’ suddenly because a regular screen, not registering your touch for a few seconds, before it starts working again. It’s beyond annoying. It’s definitely an issue that many will encounter. I mean seriously?! A touch screen device that has issues with an unresponsive screen?! Come on?!————-(Original Review upon purchase)I was always skeptical about the idea of a tablet replacing the need for a laptop, but this new IPad Pro comes close to making me think it’s possible. I’ve been using the 12.9 IPad for a few years now (I had the previous gen one as well), and it’s progressively becoming my daily computing tool for just about everything except for photoshop—interesting enough, a full photoshop will be released for iOS later 2019...we’ll see how that goes.The power is plentiful; at this point, I haven’t used any apps that even come close to tapping into its full performance power. One of the biggest issues I’ve had regarding devices like this is the battery life. If you’re using it daily, and running on battery all the time, the battery will not last very long overall. My experience is that in less than 2 years the battery wants to go—in the case of my previous IPad Pro, the battery life was abyssal after only 1 year of moderate use. This isn’t very acceptable for something that you’re potentially going to use everyday (or a ‘pro’ machine?!). What I do now is leave the charger plugged in (I’m using a slightly more powerful 29W adapter). I’ll unplug maybe once every week, or two weeks sometimes, to let the battery drain.The smaller screen bezels is a nice touch and the absence of the physical home button is just fine. Can’t argue with more screen. As for accessories, I skipped the ‘smart keyboard’; it’s a waste of money in my opinion the new keyboard design has issues of its own. I’ve been using apple’s wireless Bluetooth keyboard, and I much prefer that, as you’ll have more workspace versatility—although you’ll have to carry two pieces of equipment around; a good excuse to get a nice bag to put them in.","1.0 out of 5 stars"
